STRUCTURE,STRUCTURE_ID,freq,lev_limit,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,MT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,MT,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,NL,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,NL,2019,2.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,NO,2019,21.1,u
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,PL,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,PL,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,PT,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,PT,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,RO,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,RO,2019,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,RS,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,SE,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,SE,2019,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,SI,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,SI,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,SK,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,TR,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,TR,2019,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-24,PC,UK,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,AT,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,BE,2014,2.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,BG,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,CZ,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,DE,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,DK,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,EE,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,EL,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,ES,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,EU27_2020,2014,1.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,EU28,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,FI,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,FR,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,HR,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,HU,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,IE,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,IS,2014,3.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,IT,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,LT,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,LU,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,LV,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,MT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,NL,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,PL,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,PT,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,RO,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,SE,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,SI,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,TR,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-29,PC,UK,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,AT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,BE,2014,5.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,BG,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,CY,2014,0.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,CZ,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,DE,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,DK,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,EE,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,EL,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,ES,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,EU27_2020,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,EU28,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,FI,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,FR,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,HR,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,HU,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,IE,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,IS,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,IT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,LT,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,LU,2014,1.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,LV,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,MT,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,NL,2014,2.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,PL,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,PT,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,RO,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,SE,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,SI,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,TR,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-44,PC,UK,2014,2.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,AT,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,AT,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,BE,2014,4.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,BE,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,BG,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,BG,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,CY,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,CY,2019,0.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,CZ,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,CZ,2019,0.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,DE,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,DE,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,DK,2014,1.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,DK,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,EE,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,EE,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,EL,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,EL,2019,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,ES,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,ES,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,EU27_2020,2014,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,EU27_2020,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,EU28,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,FI,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,FI,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,FR,2014,3.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,FR,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,HR,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,HR,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,HU,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,HU,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,IE,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,IE,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,IS,2014,3.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,IS,2019,2.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,IT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,IT,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,LT,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,LT,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,LU,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,LU,2019,1.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,LV,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,LV,2019,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,MT,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,MT,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,NL,2014,1.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,NL,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,NO,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,PL,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,PL,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,PT,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,PT,2019,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,RO,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,RO,2019,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,RS,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,SE,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,SE,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,SI,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,SI,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,SK,2019,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,TR,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,TR,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y15-64,PC,UK,2014,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,AT,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,AT,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,BE,2014,5.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,BE,2019,9.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,BG,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,BG,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,CY,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,CZ,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,CZ,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,DE,2014,2.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,DE,2019,4.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,DK,2014,3.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,DK,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,EE,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,EE,2019,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,EL,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,EL,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,ES,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,ES,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,EU27_2020,2014,1.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,EU27_2020,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,EU28,2014,2.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,FI,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,FI,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,FR,2014,5.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,FR,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,HR,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,HR,2019,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,HU,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,HU,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,IE,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,IE,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,IS,2014,7.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,IS,2019,9.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,IT,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,IT,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,LT,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,LT,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,LU,2014,1.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,LU,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,LV,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,LV,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,MT,2014,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,MT,2019,1.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,NL,2014,3.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,NL,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,NO,2014,,u
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,NO,2019,14.0,u
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,PL,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,PL,2019,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,PT,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,PT,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,RO,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,RO,2019,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,RS,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,SE,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,SE,2019,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,SI,2014,2.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,SI,2019,2.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,SK,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,TR,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,TR,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-34,PC,UK,2014,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,AT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,BE,2014,5.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,BG,2014,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,CY,2014,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,CZ,2014,0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,DE,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,DK,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,EE,2014,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,EL,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,ES,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,EU27_2020,2014,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,EU28,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,FI,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,FR,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,HR,2014,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,HU,2014,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,IE,2014,0.6,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,IS,2014,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,IT,2014,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,LT,2014,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,LU,2014,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7D(1.0),A,NONE,T,Y25-64,PC,LV,2014,0.3,
